Class,Material,Lower,Upper
Polymer,Acetal,59.2
Polymer,Acrylic-extruded,130
Polymer,Acrylic-sheet-cast,45
Ceramic,Alumina,3
Metal,Aluminum,13.1
Metal,Antimony,5
Metal,Arsenic,2.6
Metal,Barium,11.4
Metal,Beryllium,6.7
Metal,Beryllium-Copper,9.3
Metal,Bismuth,7.2
Metal,Brass,10.4
Metal,Brass-Admiralty,11.2
Metal,Brass-Yellow,11.3
Metal,Bronze,10
Metal,Bronze-Aluminum,9
Metal,Cadmium,16.8
Metal,Calcium,12.4
Ceramic,Carbon-diamond,0.67
Polymer,Cellulose-acetate-(CA),72.2
Polymer,Cellulose-acetate-butyrate-(CAB),14
Polymer,Cellulose-nitrate-(CN),55.6
Ceramic,Cement,6
Metal,Cerium,2.9
Polymer,Chlorinated-polyvinylchloride-(CPVC),37
Metal,Chromium,3.3
Ceramic,Clay-tile-structure,3.3
Metal,Cobalt,6.7
Ceramic,Concrete,8
Ceramic,Concrete-structure,5.5
Metal,Constantan,10.4
Metal,Copper,9.8
Metal,Copper-Beryllium-25,9.9
Ceramic,Corundum-sintered,3.6
Ceramic,Diamond,0.6
Metal,Dysprosium,5.5
Polymer,Ebonite,42.8
Polymer,Epoxy-castings-resins-&-compounds-unfilled,31
Metal,Erbium,6.8
Polymer,Ethylene-ethyl-acrylate-(EEA),113.9
Polymer,Ethylene-vinyl-acetate-(EVA),100
Metal,Europium,19.4
Polymer,Fluoroethylene-propylene-(FEP),75
Metal,Gadolinium,5
Metal,Germanium,3.4
Ceramic,Glass-hard,3.3
Ceramic,Glass-plate,5
Ceramic,Glass-Pyrex,2.2
Metal,Gold,7.9
Ceramic,Granite,4.4
Ceramic,Graphite,4.4
Metal,Hafnium,3.3
Metal,Hard-alloy-K20,3.3
Metal,Hastelloy-C,5.3
Metal,Holmium,6.2
Ceramic,Ice,28.3
Metal,Incoloy,8
Metal,Inconel,6.4
Metal,Indium,18.3
Metal,Invar,0.8
Metal,Iridium,3.3
Metal,Iron,6.8
Metal,Iron-cast,5.9
Metal,Iron-forged,6.3
Metal,Lanthanum,6.7
Metal,Lead,15.1
Ceramic,Limestone,4.4
Metal,Lithium,25.6
Metal,Lutetium,5.5
Metal,Magnesium,14
Metal,Manganese,12
Metal,Manganese-Bronze,11.8
Ceramic,Marble,3.1,7.9
Ceramic,Masonry,2.6,5.0
Ceramic,Mica,1.7
Metal,Molybdenum,3
Metal,Monel,7.8
Ceramic,Mortar,4.1,7.5
Metal,Neodymium,5.3
Metal,Nickel,7.2
Metal,Nickel-Wrought,7.4
Metal,Niobium-(Columbium),3.9
Polymer,Nylon-general-purpose,40
Polymer,Nylon-Type-11-molding-and-extruding-compound,55.6
Polymer,Nylon-Type-12-molding-and-extruding-compound,44.7
Polymer,Nylon-Type-6-cast,47.2
Polymer,Nylon-Type-6/6-molding-compound,44.4
Metal,Osmium,2.8
Metal,Palladium,6.6
Polymer,Phenolic-resin-without-fillers,44.4
Polymer,Plaster,9.2
Metal,Platinum,5
Metal,Plutonium,19.84
Polymer,Polyallomer,50.8
Polymer,Polyamide-(PA),61.1
Polymer,Polycarbonate-glass-fiber-reinforced,12
Polymer,Polycarbonate-(PC),39
Polymer,Polyester,69
Polymer,Polyester-glass-fiber-reinforced,14
Polymer,Polyethylene-(PE),111
Polymer,Polyethylene-terephthalate-(PET),33
Polymer,Polyphenylene-glass-fiber-reinforced,20
Polymer,Polypropylene-glass-fiber-reinforced,18
Polymer,Polypropylene-(PP)-unfilled,50.3
Polymer,Polystyrene-(PS),38.9
Polymer,Polysulfone-(PSO),31
Polymer,Polyurethane-(PUR)-rigid,32
Polymer,Polyvinyl-chloride-(PVC),28
Polymer,Polyvinylidene-fluoride-(PVDF),71
Ceramic,Porcelain,2
Metal,Potassium,46
Metal,Praseodymium,3.7
Metal,Promethium,6.1
Ceramic,Quartz,0.43,0.79
Metal,Red-Brass,10.4
Metal,Rhenium,3.7
Metal,Rhodium,4.4
Polymer,Rubber-hard,42.8
Metal,Ruthenium,5.1
Metal,Samarium,7.1
Ceramic,Sandstone,6.5
Metal,Scandium,5.7
Metal,Selenium,2.1
Ceramic,Silicon,2.8
Metal,Silver,11
Ceramic,Slate,5.8
Metal,Sodium,39
Metal,Solder-50,50,13.4
Ceramic,Steatite,4.7
Metal,Steel,7.3
Metal,Steel-Stainless-Austenitic-(304),9.6
Metal,Steel-Stainless-Austenitic-(310),8
Metal,Steel-Stainless-Austenitic-(316),8.9
Metal,Steel-Stainless-Ferritic-(410),5.5
Metal,Strontium,12.5
Metal,Tantalum,3.6
Metal,Tellurium,20.5
Metal,Terbium,5.7
Metal,Terne,6.5
Metal,Thallium,16.6
Metal,Thorium,6.7
Metal,Thulium,7.4
Metal,Tin,12.8
Metal,Titanium,4.8
Metal,Tungsten,2.5
Metal,Uranium,7.4
Metal,Vanadium,4.4
Ceramic,Vinyl-Ester,8.7,12
Composite,Wood-fir,2.1
Composite,Wood-oak,3
Composite,Wood-pine,2.8
Metal,Ytterbium,14.6
Metal,Yttrium,5.9
Metal,Zinc,19
Metal,Zirconium,3.2
