Element Length (in)|Power (W)|Power Density (W/in^2)|Max temp (F)|Wire Lead Length (in)|Sheath Material|Current at 120 VAC single phase (A)|Element Diameter (in)
1|80|192|1400|12|Incoloy|0.7|0.25
1|100|240|1400|12|Incoloy|0.8|0.25
1.5|100|124|1400|12|Incoloy|0.8|0.25
1.5|150|185|1400|12|Incoloy|1.3|0.25
1.5|200|247|1400|12|Incoloy|1.7|0.25
2|125|141|1400|12|Incoloy|1|0.25
2|150|169|1400|12|Incoloy|1.3|0.25
2|200|226|1400|12|Incoloy|1.7|0.25
2|250|282|1400|12|Incoloy|2.1|0.25
2.5|200|156|1400|12|Incoloy|1.7|0.25
2.5|250|196|1400|12|Incoloy|2.1|0.25
3|100|60|1400|12|Incoloy|0.8|0.25
3|200|120|1400|12|Incoloy|1.7|0.25
3|250|150|1400|12|Incoloy|2.1|0.25
3|300|179|1400|12|Incoloy|2.5|0.25
3.5|300|145|1400|12|Incoloy|2.5|0.25
4|200|81|1400|12|Incoloy|1.7|0.25
4|265|108|1400|12|Incoloy|2.2|0.25
4|300|122|1400|12|Incoloy|2.5|0.25
4.5|325|114|1400|12|Incoloy|2.7|0.25
5|350|109|1400|12|Incoloy||0.25
5|350|139|1400|12|Incoloy|2.9|0.25
5|400|124|1400|12|Incoloy||0.25
5|400|159|1400|12|Incoloy|3.3|0.25
6|300|91|1400|12|Incoloy|2.5|0.25
6|400|121|1400|12|Incoloy|3.3|0.25
6|450|136|1400|12|Incoloy|3.8|0.25
7|525|130|1400|12|Incoloy|4.4|0.25
7|600|149|1400|12|Incoloy|5|0.25
7.5|525|119|1400|12|Incoloy|4.4|0.25
8|600|125|1400|12|Incoloy|5|0.25
9.5|525|88|1400|12|Incoloy|4.4|0.25
10|750|118|1400|12|Incoloy||0.25
10|750|121|1400|12|Incoloy|6.3|0.25
1.5|100|97|1400|12|Incoloy|0.8|0.3125
2|150|131|1400|12|Incoloy|1.3|0.3125
3|225|106|1400|12|Incoloy|1.9|0.3125
0.5|40|38|1000|16|Incoloy|0.3|0.375
1|100|211|1400|12|Incoloy|0.8|0.375
1|150|316|1400|12|Incoloy|1.3|0.375
1.5|100|94|1400|12|Incoloy|0.8|0.375
1.5|150|141|1400|12|Incoloy|1.3|0.375
1.5|200|188|1400|12|Incoloy|1.7|0.375
1.5|250|235|1400|12|Incoloy|2.1|0.375
2|50|47|1000|16|Incoloy|0.4|0.375
2|100|93|1400|12|Incoloy|0.8|0.375
2|200|187|1400|12|Incoloy|1.7|0.375
2|300|280|1400|12|Incoloy|2.5|0.375
2|400|374|1400|12|Incoloy|3.3|0.375
2.5|75|45|1000|16|Incoloy|0.4|0.375
2.5|200|121|1400|12|Incoloy|1.7|0.375
2.5|250|151|1400|12|Incoloy|2.1|0.375
2.5|400|241|1400|12|Incoloy|3.3|0.375
2.5|500|301|1400|12|Incoloy|4.2|0.375
3|100|44|1000|16|Incoloy|0.8|0.375
3|200|89|1400|12|Incoloy|1.7|0.375
3|250|111|1400|12|Incoloy|2.1|0.375
3|375|167|1400|12|Incoloy|3.1|0.375
3|400|178|1400|12|Incoloy|3.3|0.375
3.5|120|42|1000|16|Incoloy|1|0.375
3.5|250|88|1400|12|Incoloy|2.1|0.375
3.5|300|106|1400|12|Incoloy|2.5|0.375
3.5|350|123|1400|12|Incoloy|2.9|0.375
3.5|500|176|1400|12|Incoloy|4.2|0.375
4|130|38|1000|16|Incoloy|1.1|0.375
4|250|73|1400|12|Incoloy|2.1|0.375
4|300|88|1400|12|Incoloy|2.5|0.375
4|400|117|1400|12|Incoloy|3.3|0.375
4|500|146|1400|12|Incoloy|4.2|0.375
4.5|150|37|1000|16|Incoloy|1.3|0.375
4.5|300|75|1400|12|Incoloy|2.5|0.375
4.5|450|112|1400|12|Incoloy|3.8|0.375
4.5|500|125|1400|12|Incoloy|4.2|0.375
5|150|31|1400|12|Incoloy|1.3|0.375
5|200|42|1000|16|Incoloy|1.7|0.375
5|300|63|1400|12|Incoloy|2.5|0.375
