size,thickness (in.),I.D. (in.),O.D. (in.)
1,0.04,0.029,0.109
2,0.05,0.042,0.142
3,0.06,0.056,0.176
4,0.07,0.07,0.21
5,0.07,0.101,0.241
6,0.07,0.114,0.254
7,0.07,0.145,0.285
8,0.07,0.176,0.316
9,0.07,0.208,0.348
10,0.07,0.239,0.379
11,0.07,0.301,0.441
12,0.07,0.364,0.504
13,0.07,0.426,0.566
14,0.07,0.489,0.629
15,0.07,0.551,0.691
16,0.07,0.614,0.754
17,0.07,0.676,0.816
18,0.07,0.739,0.879
19,0.07,0.801,0.941
20,0.07,0.864,1.004
21,0.07,0.926,1.066
22,0.07,0.989,1.129
23,0.07,1.051,1.191
24,0.07,1.114,1.254
25,0.07,1.176,1.316
26,0.07,1.239,1.379
27,0.07,1.301,1.441
28,0.07,1.364,1.504
29,0.07,1.489,1.629
30,0.07,1.614,1.754
31,0.07,1.739,1.879
32,0.07,1.864,2.004
33,0.07,1.989,2.129
34,0.07,2.114,2.254
35,0.07,2.239,2.379
36,0.07,2.364,2.504
37,0.07,2.489,2.629
38,0.07,2.614,2.754
39,0.07,2.739,2.879
40,0.07,2.864,3.004
41,0.07,2.989,3.129
42,0.07,3.239,3.379
43,0.07,3.489,3.629
44,0.07,3.739,3.879
45,0.07,3.989,4.129
46,0.07,4.239,4.379
47,0.07,4.489,4.629
48,0.07,4.739,4.879
49,0.07,4.989,5.129
50,0.07,5.239,5.379
102,0.103,0.049,0.255
103,0.103,0.081,0.287
104,0.103,0.112,0.318
105,0.103,0.143,0.349
106,0.103,0.174,0.38
107,0.103,0.206,0.412
108,0.103,0.237,0.443
109,0.103,0.299,0.505
110,0.103,0.362,0.568
111,0.103,0.424,0.63
112,0.103,0.487,0.693
113,0.103,0.549,0.755
114,0.103,0.612,0.818
115,0.103,0.674,0.88
116,0.103,0.737,0.943
117,0.103,0.799,1.005
118,0.103,0.862,1.068
119,0.103,0.924,1.13
120,0.103,0.987,1.193
121,0.103,1.049,1.255
