pipe size (in),tpi,length of threads (in),number of threads,total thread makeup (in),nominal OD (in),tap drill (in)
1/16,27,,,,0.313,
1/8,27,3/8,10,1/4,0.405,
1/4,18,5/8,11,3/8,0.54,7/16
3/8,18,5/8,11,3/8,0.675,37/64
1/2,14,3/4,10,7/16,0.84,23/32
3/4,14,3/4,10,1/2,1.05,59/64
1,11-1/2,7/8,10,9/16,1.315,1-5/32
1-1/4,11-1/2,1,11,9/16,1.66,1-1/2
1-1/2,11-1/2,1,11,9/16,1.9,1-47/64
2,11-1/2,1,11,5/8,2.375,2-7/32
2-1/2,8,1 1/2,12,7/8,2.875,2-5/8
3,8,1 1/2,12,1,3.5,3-1/4
3-1/2,8,1 5/8,13,1 1/16,4,3-3/4
4,8,1 5/8,13,1 1/16,4.5,4-1/4
4 1/2,8,,,,5,4-3/4
5,8,1 3/4,14,1 3/16,5.563,5-9/32
6,8,1 3/4,14,1 3/16,6.625,6-11/32
8,8,1 7/8,15,1 5/16,8.625,
10,8,2,16,1 1/2,10.75,
12,8,2 1/8,17,1 5/8,12.75,
14,8,,,,14,
16,8,,,,16,
