Screw Size,Class Thread,Major Diameter Basic,Major Diameter Max,Major Diameter Min,Pitch Diameter Max,Pitch Diameter Min,Minor Diameter Max
0-80,2A,0.0600,0.0595,0.0563,0.0514,0.0496,0.0442
0-80,3A,0.0600,0.0600,0.0568,0.0519,0.0506,0.0447
1-64,2A,0.0730,0.0724,0.0686,0.0623,0.0603,0.0532
1-64,3A,0.0730,0.0730,0.0692,0.0629,0.0614,0.0538
1-72,2A,0.0730,0.0724,0.0689,0.0634,0.0615,0.0554
1-72,3A,0.0730,0.0730,0.0695,0.0640,0.0626,0.0560
2-56,2A,0.0860,0.0854,0.0813,0.0738,0.0717,0.0635
2-56,3A,0.0860,0.0860,0.0819,0.0744,0.0728,0.0641
2-64,2A,0.0860,0.0854,0.0816,0.0753,0.0733,0.0662
2-64,3A,0.0860,0.0860,0.0822,0.0759,0.0744,0.0668
3-48,2A,0.0990,0.0983,0.0938,0.0848,0.0825,0.0727
3-48,3A,0.0990,0.0990,0.0945,0.0855,0.0838,0.0734
3-56,2A,0.0990,0.0983,0.0942,0.0867,0.0845,0.0764
3-56,3A,0.0990,0.0990,0.0949,0.0874,0.0858,0.0771
4-40,2A,0.1120,0.1112,0.1061,0.0950,0.0925,0.0805
4-40,3A,0.1120,0.1120,0.1069,0.0958,0.0939,0.0813
4-48,2A,0.1120,0.1113,0.1068,0.0978,0.0954,0.0857
4-48,3A,0.1120,0.1120,0.1075,0.0985,0.0967,0.0864
5-40,2A,0.1250,0.1242,0.1191,0.1080,0.1054,0.0935
5-40,3A,0.1250,0.1250,0.1199,0.1088,0.1069,0.0943
5-44,2A,0.1250,0.1243,0.1195,0.1095,0.1070,0.0964
5-44,3A,0.1250,0.1250,0.1202,0.1102,0.1083,0.0971
6-32,2A,0.1380,0.1372,0.1312,0.1169,0.1141,0.0989
6-32,3A,0.1380,0.1380,0.1320,0.1177,0.1156,0.0997
6-40,2A,0.1380,0.1372,0.1321,0.1210,0.1184,0.1065
6-40,3A,0.1380,0.1380,0.1329,0.1218,0.1198,0.1073
8-32,2A,0.1640,0.1631,0.1571,0.1428,0.1399,0.1248
8-32,3A,0.1640,0.1640,0.1580,0.1437,0.1415,0.1257
8-36,2A,0.1640,0.1632,0.1577,0.1452,0.1424,0.1291
8-36,3A,0.1640,0.1640,0.1585,0.1460,0.1439,0.1299
10-24,2A,0.1900,0.1890,0.1818,0.1619,0.1586,0.1379
10-24,3A,0.1900,0.1900,0.1828,0.1629,0.1604,0.1389
10-32,2A,0.1900,0.1891,0.1831,0.1688,0.1658,0.1508
10-32,3A,0.1900,0.1900,0.1840,0.1697,0.1674,0.1517
1/4-20,2A,0.2500,0.2489,0.2408,0.2164,0.2127,0.1876
1/4-20,3A,0.2500,0.2500,0.2419,0.2175,0.2147,0.1887
1/4-28,2A,0.2500,0.2490,0.2425,0.2258,0.2225,0.2052
1/4-28,3A,0.2500,0.2500,0.2435,0.2268,0.2243,0.2062
5/16-18,2A,0.3125,0.3113,0.3026,0.2752,0.2712,0.2431
5/16-18,3A,0.3125,0.3125,0.3038,0.2764,0.2734,0.2443
5/16-24,2A,0.3125,0.3114,0.3042,0.2843,0.2806,0.2603
5/16-24,3A,0.3125,0.3125,0.3053,0.2854,0.2827,0.2614
