Dt	Dm	Lo	nv	Fn	Ln	sn	c	Cat.no
0.2	1	2	3.5	2.14	1.4	0.6	4.089	5704
0.2	1	2.7	5.5	2.14	1.9	0.8	2.599	5705
0.2	1	3.9	8.5	2.14	2.6	1.3	1.687	5706
0.2	1	5.5	12.5	2.14	3.6	1.9	1.147	5707
0.2	1	7.8	18.5	2.14	5	2.8	0.775	5708
0.2	1.2	2.3	3.5	1.89	1.5	0.8	2.363	5709
0.2	1.2	3.2	5.5	1.89	1.9	1.3	1.51	5710
0.2	1.2	4.6	8.5	1.89	2.7	1.9	0.971	5711
0.2	1.2	6.5	12.5	1.89	3.7	2.8	0.667	5712
0.2	1.2	9.3	18.5	1.89	5.1	4.2	0.451	5713
0.2	1.6	3	3.5	1.5	1.5	1.5	1	5714
0.2	1.6	4.4	5.5	1.5	2	2.4	0.637	5715
0.2	1.6	6.4	8.5	1.5	2.8	3.6	0.412	5716
0.2	1.6	9.2	12.5	1.5	3.8	5.4	0.284	5717
0.2	1.6	13.3	18.5	1.5	5.3	7.9	0.186	5718
0.2	2	4	3.5	1.24	1.5	2.4	0.51	5719
0.2	2	5.9	5.5	1.24	2.1	3.8	0.324	5720
0.2	2	8.7	8.5	1.24	2.9	5.9	0.206	5721
0.2	2	12.6	12.5	1.24	4	8.6	0.147	5722
0.2	2	18.3	18.5	1.24	5.6	12.7	0.098	5723
0.2	2.5	5.4	3.5	1	1.6	3.8	0.265	5724
0.2	2.5	8.2	5.5	1	2.2	6	0.167	5725
0.2	2.5	12.4	8.5	1	3.1	9.3	0.108	5726
0.2	2.5	17.9	12.5	1	4.2	13.7	0.069	5727
0.2	2.5	26.2	18.5	1	5.9	20.3	0.049	5728
0.25	1.2	2.4	3.5	3.42	1.8	0.6	5.79	5729
0.25	1.2	3.3	5.5	3.42	2.4	0.9	3.68	5730
0.25	1.2	4.7	8.5	3.42	3.3	1.4	2.38	5731
0.25	1.2	6.6	12.5	3.42	4.5	2.1	1.62	5732
0.25	1.2	9.4	18.5	3.42	6.3	3.1	1.1	5733
0.25	1.6	3	3.5	2.81	1.8	1.2	2.44	5734
0.25	1.6	4.3	5.5	2.81	2.4	1.8	1.55	5735
0.25	1.6	6.2	8.5	2.81	3.4	2.8	1	5736
0.25	1.6	8.7	12.5	2.81	4.6	4.1	0.686	5737
0.25	1.6	12.5	18.5	2.81	6.5	6.1	0.461	5738
0.25	2	3.7	3.5	2.34	1.9	1.9	1.25	5739
0.25	2	5.5	5.5	2.34	2.5	2.9	0.794	5740
0.25	2	8	8.5	2.34	3.5	4.6	0.51	5741
0.25	2	11.4	12.5	2.34	4.7	6.7	0.353	5742
0.25	2	16.6	18.5	2.34	6.7	9.9	0.235	5743
0.25	2.5	4.9	3.5	1.92	1.9	3	0.637	5744
0.25	2.5	7.3	5.5	1.92	2.6	4.7	0.412	5745
0.25	2.5	10.9	8.5	1.92	3.6	7.3	0.265	5746
0.25	2.5	15.7	12.5	1.92	5	10.8	0.177	5747
0.25	2.5	22.9	18.5	1.92	7	15.9	0.118	5748
0.25	3.2	7.1	3.5	1.53	2	5	0.304	5749
0.25	3.2	10.7	5.5	1.53	2.8	7.9	0.196	5750
0.25	3.2	16.1	8.5	1.53	3.8	12.2	0.127	5751
0.25	3.2	23.3	12.5	1.53	5.3	18	0.088	5752
0.25	3.2	34.1	18.5	1.53	7.5	26.6	0.059	5753
