Dt	Dm	Lo	nv	Ln	sn	Fn	c	Cat.no	Fn	c	Cat.no
0.8	5	8.3	3.5	5.6	2.7	26	9.53	5911	24.2	8.86	5936
0.8	5	12	5.5	7.7	4.3	26	6.07	5912	24.2	5.65	5937
0.8	5	17.5	8.5	10.9	6.6	26	3.92	5913	24.2	3.65	5938
0.8	5	24.5	12.5	15.1	9.4	26	2.67	5914	24.2	2.48	5939
0.8	5	36.	18.5	21.5	14.5	26	1.8	5915	24.2	1.67	5940
0.8	6.3	10.5	3.5	5.6	4.9	24	4.77	5916	22.3	4.44	5941
0.8	6.3	15.5	5.5	7.7	7.8	24	3.03	5917	22.3	2.82	5942
0.8	6.3	23	8.5	10.9	12.1	24	1.96	5918	22.3	1.82	5943
0.8	6.3	33.	12.5	15.1	17.9	24	1.33	5919	22.3	1.24	5945
0.8	6.3	48.	18.5	21.5	26.5	24	0.9	5920	22.3	0.84	5944
0.8	8	14.5	3.5	6.1	8.4	19.5	2.32	5921	18.1	2.16	5946
0.8	8	21.5	5.5	8.4	13.1	19.5	1.48	5922	18.1	1.38	5947
0.8	8	32.	8.5	12	20	19.5	0.96	5923	18.1	0.89	5948
0.8	8	47.	12.5	16.7	30.3	19.5	0.65	5924	18.1	0.6	5949
0.8	8	68.	18.5	23.8	44.2	19.5	0.44	5925	18.1	0.41	5950
0.8	10	20	3.5	6.9	13.1	15.4	1.2	5926	14.3	1.12	5951
0.8	10	30.	5.5	9.8	20.2	15.4	0.76	5927	14.3	0.7	5952
0.8	10	45.5	8.5	14.3	31.2	15.4	0.49	5928	14.3	0.46	5953
0.8	10	66.	12.5	19.9	46.1	15.4	0.33	5929	14.3	0.31	5954
0.8	10	96.5	18.5	28.5	68	15.4	0.23	5930	14.3	0.21	5955
1	5	8.5	3.5	6.6	1.9	43.7	23.20	5956	40.6	21.6	5981
1	5	12	5.5	9	3	43.7	14.80	5957	40.6	13.8	5982
1	5	17	8.5	12.6	4.4	43.7	9.57	5958	40.6	8.9	5983
1	5	24	12.5	17.4	6.6	43.7	6.51	5959	40.6	6.05	5984
1	5	34.5	18.5	24.6	9.9	43.7	4.4	5960	40.6	4.1	5985
1	6.3	10	3.5	7.3	2.7	34.1	11.6	5961	31.7	10.79	5986
1	6.3	14.5	5.5	10.1	4.4	34.1	7.39	5962	31.7	6.87	5987
1	6.3	21.5	8.5	14.3	7.2	34.1	4.79	5963	31.7	4.45	5988
1	6.3	30.5	12.5	19.9	10.6	34.1	3.26	5964	31.7	3.03	5989
1	6.3	43.5	18.5	28.3	15.2	34.1	2.2	5965	31.7	2.05	5990
1	8	13	3.5	7.3	5.7	33.1	5.68	5966	30.8	5.28	5991
1	8	19	5.5	10.1	8.9	33.1	3.61	5967	30.8	3.35	5992
1	8	28.5	8.5	14.3	14.2	33.1	2.33	5968	30.8	2.17	5993
1	8	40.5	12.5	19.9	20.6	33.1	1.59	5969	30.8	1.48	5994
1	8	59.	18.5	28.3	30.7	33.1	1.08	5970	30.8	1	5995
1	10	17.5	3.5	8	9.5	27.4	2.9	5971	25.5	2.7	5996
1	10	26	5.5	11.2	14.8	27.4	1.85	5972	25.5	1.72	5997
1	10	39	8.5	16	23	27.4	1.2	5973	25.5	1.12	5998
1	10	56.	12.5	22.4	33.6	27.4	0.81	5974	25.5	0.76	5999
1	10	81.5	18.5	32	49.5	27.4	0.55	5975	25.5	0.51	6000
1	12.5	24	3.5	9.4	14.6	22	1.49	5976	20.5	1.39	6001
1	12.5	36.5	5.5	13.4	23.1	22	0.95	5977	20.5	0.88	6002
1	12.5	55.5	8.5	19.4	36.1	22	0.61	5978	20.5	0.57	6003
1	12.5	80.5	12.5	27.4	53.1	22	0.41	5979	20.5	0.38	6004
1	12.5	115.	18.5	39.4	75.6	22	0.28	5980	20.5	0.26	6005
1.25	6.3	12	3.5	7.2	4.8	133	29	6006	124	27	6031
1.25	6.3	17	5.5	9.8	7.2	133	18	6007	124	16.7	6032
1.25	6.3	25	8.5	13.8	11.2	133	11.8	6008	124	11	6033
1.25	6.3	35.5	12.5	19.2	16.3	133	8.09	6009	124	7.5	6034
1.25	6.3	51.5	18.5	27.1	24.4	133	5.39	6010	124	5	6035
1.25	8	15	3.5	7.4	7.6	105	14.3	6011	98	13.3	6036
1.25	8	22	5.5	10.5	11.5	105	8.92	6012	98	8.3	6037
1.25	8	33	8.5	14.9	18.1	105	5.83	6013	98	5.4	6038
1.25	8	47.5	12.5	21	26.5	105	3.96	6014	98	3.7	6039
1.25	8	69.	18.5	30	39	105	2.69	6015	98	2.5	6040
