Solute,A,B,C,E,F,G,H,Tmin/K,Tmax/K
He,-3.52839,7.12983,4.4777,2267.4082,-2.9616,-3.2604,7.8819,273.21,553.18
Ne,-3.18301,5.31448,5.43774,2507.3022,-38.6955,110.3992,-71.9096,273.2,543.36
Ar,-8.40954,4.29587,10.52779,2310.5463,-46.7034,160.4066,-118.3043,273.19,568.36
Kr,-8.97358,3.61508,11.29963,2276.9722,-61.1494,214.0117,-159.0407,273.19,525.56
Xe,-14.21635,4.00041,15.60999,2022.8375,16.7913,-61.2401,41.9236,273.22,574.85
H2,-4.73284,6.08954,6.06066,2286.4159,11.3397,-70.7279,63.0631,273.15,636.09
N2,-9.67578,4.72162,11.70585,2388.8777,-14.9593,42.0179,-29.4396,278.12,636.46
O2,-9.44833,4.43822,11.42005,2305.0674,-11.324,25.3224,-15.6449,274.15,616.52
CO,-10.52862,5.13259,12.01421,2346.2291,-57.6317,204.5324,-152.6377,278.15,588.67
CO2,-8.55445,4.01195,9.52345,1672.9376,28.1751,-112.4619,85.3807,274.19,642.66
H2S,-4.51499,5.23538,4.42126,1319.1205,14.1571,-46.8361,33.2266,273.15,533.09
CH4,-10.44708,4.66491,12.12986,2215.6977,-0.1089,26.624,4.6789,275.46,633.11
C2H6,-19.67563,4.51222,20.62567,2143.8121,6.8859,-12.6084,0,275.44,473.46
SF6,-16.56118,2.15289,20.3544,2871.7265,-66.7556,229.7191,-172.74,283.14,505.55
