atomic number,symbol,isotope number,ramu,comp,samlb,samub
1,H,1,1.007825032239,0.99988570,1.00784,1.00811
,D,2,2.0141017781212,0.00011570,,
,T,3,3.016049277924,,,
2,He,3,3.016029320125,0.000001343,4.0026022,
,,4,4.002603254136,0.999998663,,
3,Li,6,6.015122887416,0.08,6.94,7.00
,,7,7.016003436645,0.92,,
4,Be,9,9.01218306582,1.00,9.01218315,
5,B,10,10.0129369541,0.20,10.81,10.82
,,11,11.0093053645,0.80,,
6,C,12,12.00,0.99,12.01,12.01
,,13,13.0033548350723,0.01,,
,,14,14.003241988440,,,
7,N,14,14.0030740044320,0.9963620,14.00643,14.00728
,,15,15.0001088988864,0.0036420,,
8,O,16,15.9949146195717,0.9975716,15.99903,15.99977
,,17,16.9991317565069,0.000381,,
,,18,17.9991596128676,0.0020514,,
9,F,19,18.9984031627392,1.00,18.9984031636,
10,Ne,20,19.992440176217,0.90,20.18,
,,21,20.99384668541,0.00,,
,,22,21.99138511418,0.09,,
11,Na,23,22.989769282019,1.00,22.989769282,
12,Mg,24,23.98504169714,0.79,24.30,24.31
,,25,24.98583697650,0.10,,
,,26,25.98259296831,0.11,,
13,Al,27,26.9815385311,1.00,26.98153857,
14,Si,28,27.9769265346544,0.9222319,28.08,28.09
,,29,28.9764946649052,0.046858,,
,,30,29.97377013623,0.0309211,,
15,P,31,30.9737619984270,1.00,30.9737619985,
16,S,32,31.972071174414,0.95,32.06,32.08
,,33,32.971458909815,0.01,,
,,34,33.96786700447,0.04,,
,,36,35.9670807120,0.00,,
17,Cl,35,34.96885268237,0.76,35.45,35.46
,,37,36.96590260255,0.24,,
18,Ar,36,35.96754510528,0.00333621,39.95,
,,38,37.9627321121,0.0006297,,
,,40,39.962383123724,0.99603525,,
19,K,39,38.963706486449,0.93258144,39.10,
,,40,39.96399816660,0.0001171,,
,,41,40.961825257941,0.06730244,,
20,,40,39.96259086322,0.96941156,40.08,
,,42,41.9586178316,0.0064723,,
,,43,42.9587664424,0.0013510,,
,,44,43.9554815635,0.02086110,,
,,46,45.953689024,0.000043,,
,,48,47.9525227613,0.0018721,,
21,Sc,45,44.9559082877,1.00,44.9559085,
22,Ti,46,45.9526277235,0.08,47.87,
,,47,46.9517587938,0.07,,
,,48,47.9479419838,0.74,,
,,49,48.9478656839,0.05,,
,,50,49.9447868939,0.05,,
23,V,50,49.9471560195,0.002504,50.94,
,,51,50.9439570494,0.997504,,
24,Cr,50,49.9460418394,0.0434513,52.00,
,,52,51.9405062363,0.8378918,,
,,53,52.9406481562,0.0950117,,
,,54,53.9388791661,0.023657,,
25,Mn,55,54.9380439148,1.00,54.9380443,
26,Fe,54,53.9396089953,0.0584535,55.85,
,,56,55.9349363349,0.9175436,,
,,57,56.9353928449,0.0211910,,
,,58,57.9332744353,0.002824,,
27,Co,59,58.9331942956,1.00,58.9331944,
28,Ni,58,57.9353424152,0.6807719,58.69,
,,60,59.9307858852,0.2622315,,
,,61,60.9310555752,0.01139913,,
,,62,61.9283453755,0.03634640,,
,,64,63.9279668258,0.00925519,,
29,Cu,63,62.9295977256,0.69,63.55,
,,65,64.9277897071,0.31,,
30,Zn,64,63.9291420171,0.49,65.38,
,,66,65.9260338194,0.28,,
,,67,66.9271277596,0.04,,
,,68,67.9248445598,0.18,,
,,70,69.925319221,0.01,,
31,Ga,69,68.925573513,0.601089,69.72,
,,71,70.9247025887,0.398929,,
32,Ge,70,69.9242487590,0.21,72.63,
,,72,71.92207582681,0.27,,
,,73,72.92345895661,0.08,,
,,74,73.92117776113,0.37,,
,,76,75.92140272619,0.08,,
33,As,75,74.9215945795,1.00,74.9215956,
34,Se,74,73.92247593415,0.01,78.97,
,,76,75.91921370417,0.09,,
,,77,76.91991415467,0.08,,
,,78,77.9173092820,0.24,,
,,80,79.916521813,0.50,,
,,82,81.916699515,0.09,,
35,Br,79,78.918337614,0.51,79.90,79.91
,,81,80.916289714,0.49,,
36,Kr,78,77.9203649476,0.003553,83.80,
,,80,79.9163780875,0.0228610,,
,,82,81.9134827394,0.1159331,,
,,83,82.9141271632,0.1150019,,
,,84,83.911497728244,0.5698715,,
,,86,85.910610626941,0.1727941,,
37,Rb,85,84.911789737954,0.72,85.47,
,,87,86.909180531060,0.28,,
38,Sr,84,83.913419113,0.01,87.62,
,,86,85.909260612,0.10,,
,,87,86.908877512,0.07,,
,,88,87.905612512,0.83,,
39,Y,89,88.905840324,1.00,88.905842,
40,Zr,90,89.904697720,0.51,91.22,
,,91,90.905639620,0.11,,
,,92,91.905034720,0.17,,
,,94,93.906310820,0.17,,
,,96,95.908271421,0.03,,
41,Nb,93,92.906373020,1.00,92.906372,
42,Mo,92,91.9068079684,0.15,95.95,
,,94,93.9050849048,0.09,,
,,95,94.9058387747,0.16,,
,,96,95.9046761247,0.17,,
,,97,96.9060181249,0.10,,
,,98,97.9054048249,0.24,,
,,100,99.907471811,0.10,,
43,Tc,97,96.906366740,,98.00,
,,98,97.907212436,,,
,,99,98.906250810,,,
44,Ru,96,95.9075902549,0.06,101.07,
,,98,97.905286869,0.02,,
,,99,98.905934111,0.13,,
,,100,99.904214311,0.13,,
,,101,100.905576912,0.17,,
,,102,101.904344112,0.32,,
,,104,103.905427528,0.19,,
45,Rh,103,102.905498026,1.00,102.905502,
46,Pd,102,101.905602228,0.01,106.42,
,,104,103.904030514,0.11,,
,,105,104.905079612,0.22,,
,,106,105.903480412,0.27,,
,,108,107.903891612,0.26,,
,,110,109.9051722075,0.12,,
47,Ag,107,106.905091626,0.518398,107.87,
,,109,108.904755314,0.481618,,
48,Cd,106,105.906459912,0.01,112.41,
,,108,107.904183412,0.01,,
,,110,109.9030066161,0.12,,
,,111,110.9041828761,0.13,,
,,112,111.9027628760,0.24,,
,,113,112.9044081345,0.12,,
,,114,113.9033650943,0.29,,
,,116,115.9047631517,0.07,,
49,In,113,112.9040618491,0.04,114.82,
,,115,114.90387877612,0.96,,
50,Sn,112,111.9048238761,0.01,118.71,
,,114,113.902782710,0.01,,
,,115,114.90334469916,0.00,,
,,116,115.9017428010,0.15,,
,,117,116.9029539852,0.08,,
,,118,117.9016065754,0.24,,
,,119,118.9033111778,0.09,,
,,120,119.9022016397,0.33,,
,,122,121.903443826,0.05,,
,,124,123.905276611,0.06,,
51,Sb,121,120.903812030,0.57,121.76,
,,123,122.904213223,0.43,,
52,Te,120,119.904059333,0.00,127.60,
,,122,121.903043516,0.03,,
,,123,122.904269816,0.01,,
,,124,123.902817116,0.05,,
,,125,124.904429916,0.07,,
,,126,125.903310916,0.19,,
,,128,127.9044612893,0.32,,
,,130,129.90622274812,0.34,,
53,I,127,126.904471939,1.00,126.904473,
54,Xe,124,123.905892019,0.0009523,131.29,
,,126,125.904298338,0.0008902,,
,,128,127.903531011,0.0191028,,
,,129,128.904780861160,0.26400682,,
,,130,129.90350934910,0.04071013,,
,,131,130.9050840624,0.21232430,,
,,132,131.904155085656,0.26908633,,
,,134,133.9053946690,0.10435721,,
,,136,135.90721448411,0.08857344,,
55,Cs,133,132.905451961080,1.00,132.905451966,
56,,130,129.906320728,0.001061,137.33,
,,132,131.905061111,0.001011,,
,,134,133.9045081830,0.0241718,,
,,135,134.9056883829,0.0659212,,
,,136,135.9045757329,0.0785424,,
,,137,136.9058271430,0.1123224,,
,,138,137.9052470031,0.7169842,,
57,La,138,137.907114937,0.000888171,138.905477,
,,139,138.906356324,0.999111971,,
58,Ce,136,135.9071292141,0.001852,140.12,
,,138,137.90599111,0.002512,,
,,140,139.905443123,0.8845051,,
,,142,141.909250429,0.1111451,,
59,Pr,141,140.907657623,1.00,140.907662,
60,Nd,142,141.907729020,0.2715240,144.24,
,,143,142.909820020,0.1217426,,
,,144,143.910093020,0.2379819,,
,,145,144.912579320,0.0829312,,
,,146,145.913122620,0.1718932,,
,,148,147.916899326,0.0575621,,
,,150,149.920902218,0.0563828,,
61,Pm,145,144.912755933,,145.00,
,,147,146.915145019,,,
62,Sm,144,143.912006521,0.03,150.36,
,,147,146.914904419,0.15,,
,,148,147.914829219,0.11,,
,,149,148.917192118,0.14,,
,,150,149.917282918,0.07,,
,,152,151.919739718,0.27,,
,,154,153.922216920,0.23,,
63,Eu,151,150.919857818,0.48,151.96,
,,153,152.921238018,0.52,,
64,Gd,152,151.919799518,0.00,157.25,
,,154,153.920874117,0.02,,
,,155,154.922630517,0.15,,
,,156,155.922131217,0.20,,
,,157,156.923968617,0.16,,
,,158,157.924112317,0.25,,
,,160,159.927062418,0.22,,
65,Tb,159,158.925354719,1.00,158.925352,
66,Dy,156,155.924284717,0.000563,162.50,
,,158,157.924415931,0.000953,,
,,160,159.925204620,0.0232918,,
,,161,160.926940520,0.1888942,,
,,162,161.926805620,0.2547536,,
,,163,162.928738320,0.2489642,,
,,164,163.929181920,0.2826054,,
67,Ho,165,164.930328821,1.00,164.930332,
68,Er,162,161.928788420,0.001395,167.26,
,,164,163.929208820,0.016013,,
,,166,165.930299522,0.3350336,,
,,167,166.932054622,0.228699,,
,,168,167.932376722,0.2697818,,
,,170,169.935470226,0.1491036,,
69,Tm,169,168.934217922,1.00,168.934222,
70,Yb,168,167.933889622,0.001233,173.05,
,,170,169.934766422,0.0298239,,
,,171,170.936330222,0.14,,
,,172,171.936385922,0.22,,
,,173,172.938215122,0.1610363,,
,,174,173.938866422,0.3202680,,
,,176,175.942576424,0.1299683,,
71,Lu,175,174.940775220,0.9740113,174.97,
,,176,175.942689720,0.0259913,,
72,Hf,174,173.940046128,0.00,178.49,
,,176,175.941407622,0.05,,
,,177,176.943227720,0.19,,
,,178,177.943705820,0.27,,
,,179,178.945823220,0.14,,
,,180,179.946557020,0.35,,
73,Ta,180,179.947464824,0.000120132,180.947882,
,,181,180.947995820,0.999879932,,
74,W,180,179.946710820,0.00,183.84,
,,182,181.9482039491,0.27,,
,,183,182.9502227590,0.14,,
,,184,183.9509309294,0.31,,
,,186,185.954362817,0.28,,
75,Re,185,184.952954513,0.37,186.21,
,,187,186.955750116,0.63,,
76,Os,184,183.952488514,0.00,190.23,
,,186,185.953835016,0.02,,
,,187,186.955747416,0.02,,
,,188,187.955835216,0.13,,
,,189,188.958144217,0.16,,
,,190,189.958443717,0.26,,
,,192,191.961477029,0.41,,
77,Ir,191,190.960589321,0.37,192.22,
,,193,192.962921621,0.63,,
78,Pt,190,189.959929763,0.000122,195.08,
,,192,191.961038732,0.0078224,,
,,194,193.962680910,0.33,,
,,195,194.964791710,0.34,,
,,196,195.9649520999,0.25,,
,,198,197.967894923,0.07356130,,
79,Au,197,196.9665687971,1.00,196.9665695,
80,Hg,196,195.965832632,0.00,200.59,
,,198,197.9667686052,0.10,,
,,199,198.9682806446,0.17,,
,,200,199.9683265947,0.23,,
,,201,200.9703028469,0.13,,
,,202,201.9706434069,0.30,,
,,204,203.9734939853,0.07,,
81,Tl,203,202.972344614,0.30,204.38,204.39
,,205,204.974427814,0.70,,
82,Pb,204,203.973044013,0.01,207.21,
,,206,205.974465713,0.24,,
,,207,206.975897313,0.22,,
,,208,207.976652513,0.52,,
83,Bi,209,208.980399116,1.00,208.980401,
84,Po,209,208.982430820,,209.00,
,,210,209.982874113,,,
85,At,210,209.987147983,,210.00,
,,211,210.987496630,,,
86,Rn,211,210.990601173,,222.00,
,,220,220.011394123,,,
,,222,222.017578225,,,
87,Fr,223,223.019736025,,223.00,
88,Ra,223,223.018502327,,226.00,
,,224,224.020212023,,,
,,226,226.025410325,,,
,,228,228.031070726,,,
89,Ac,227,227.027752325,,227.00,
90,Th,230,230.033134119,,,
,,232,232.038055821,1.00,232.03774,
91,Pa,231,231.035884224,1.00,231.035882,
92,U,233,233.039635529,,,
,,234,234.040952319,0.0000545,238.028913,
,,235,235.043930119,0.0072046,,
,,236,236.045568219,,,
,,238,238.050788420,0.99274210,,
93,Np,236,236.04657054,,237.00,
,,237,237.048173619,,,
94,Pu,238,238.049560119,,244.00,
,,239,239.052163619,,,
,,240,240.053813819,,,
,,241,241.056851719,,,
,,242,242.058742820,,,
,,244,244.064205356,,,
95,Am,241,241.056829319,,,
,,243,243.061381324,,,
96,Cm,243,243.061389322,,,
,,244,244.062752819,,,
,,245,245.065491522,,,
,,246,246.067223822,,,
,,247,247.070354147,,,
,,248,248.072349956,,,
97,Bk,247,247.070307359,,,
,,249,249.074987727,,,
98,Cf,249,249.074853923,,,
,,250,250.076406222,,,
,,251,251.079588648,,,
,,252,252.081627256,,,
99,Es,252,252.08298054,,,
100,Fm,257,257.095106169,,,
101,Md,258,258.098431550,,,
,,260,260.1036534,,,
102,No,259,259.1010311,,,
103,Lr,262,262.1096122,,,
104,Rf,267,267.1217962,,,
105,Db,268,268.1256757,,,
106,Sg,271,271.1339363,,,
107,Bh,272,272.1382658,,,
108,Hs,270,270.1342927,,,
109,Mt,276,276.1515959,,,
110,Ds,281,281.1645159,,,
111,Rg,280,280.1651461,,,
112,Cn,285,285.1771260,,,
113,Nh,284,284.1787362,,,
114,Fl,289,289.1904260,,,
115,Mc,288,288.1927462,,,
116,Lv,293,293.2044960,,,
117,Ts,292,292.2074675,,,
118,Og,294,294.2139271,,,
