T,P,eta
K,.1Mpa,uPa*s
66.5,11,297
66.5,18.6,302
66.5,40.2,307
66.5,57.9,311
66.5,77.5,320
66.5,97.1,331
66.5,117.7,347
66.5,141.5,348
70.1,10.3,215
70.1,20.1,222
70.1,40.7,238
70.1,60.3,244
70.1,79.4,249
70.1,99.5,252
70.1,119.2,264
70.1,138.5,273
70.1,157.2,279
70.1,167.7,288
70.1,190.3,303
74,7.1,185
74,19.1,186
74,31.9,193
74,52.5,201
74,72.1,209
74,91.5,222
74,111.1,230
74,129.5,233
74,151.5,245
74,166.7,243
74,174.6,246
74,191.5,248
77.5,5.9,152
77.5,20.6,150
77.5,39.2,165
77.5,60.8,173
77.5,79.4,181
77.5,101,192
77.5,117.7,197
77.5,139.2,204
77.5,156.9,206
77.5,178.5,214
77.5,194.2,216
85,11.8,129
85,23.5,133
85,42.2,135
85,62.8,140
85,82.4,141
85,100,147
85,119.6,150
85,138.7,156
85,157.9,160
85,171.6,165
85,194.7,174
88.8,5.9,106
88.8,20.6,108
88.8,40.2,114
88.8,60.3,117
88.8,82.4,123
88.8,89,125
88.8,118.2,129
88.8,138.2,133
88.8,158.9,137
88.8,175.5,139
88.8,193.2,146
95,8.8,95
95,23.5,93
95,41.2,98
95,61.8,102
95,79.4,104
95,100,109
95,119.6,111
95,132.3,114
95,159.8,118
95,179.5,120
95,192.2,122
101.1,13.7,76
101.1,22.5,79
101.1,40.2,79
101.1,59.8,79
101.1,78.4,86
101.1,99,89
101.1,119.1,93
101.1,137.3,97
101.1,156.9,103
101.1,179,106
101.1,191,108
104.7,18.1,70
104.7,32.4,73
104.7,54.9,78
104.7,74,80
104.7,93.2,84
104.7,111.3,87
104.7,131.4,91
104.7,147.1,91
104.7,167.7,97
104.7,189.3,99
108.7,18.6,63
108.7,42.2,67
108.7,62.8,70
108.7,80.4,73
108.7,100,78
108.7,118.7,80
108.7,138.3,83
108.7,159.8,85
108.7,175.5,85
108.7,189.3,88
115.4,22.5,47
115.4,30.4,54
115.4,48.5,53
115.4,70.6,57
115.4,89.7,61
115.4,106.9,66
115.4,128,68
115.4,149.1,72
115.4,170.1,72
115.4,180.9,76
119.3,29.4,48
119.3,52,50
119.3,73.1,56
119.3,93.6,59
119.3,112.3,61
119.3,132.4,66
119.3,151.5,68
119.3,174.6,73
119.3,194.2,74
123.4,34.3,35
123.4,52.9,40
123.4,74.5,48
123.4,92.2,54
123.4,111.8,56
123.4,130.4,57
123.4,144.2,62
123.4,163.8,62
123.4,185.3,68
