Element,Min/Exact,Max
Ag,4.26,4.74
Au,5.1,5.47
Be,4.98,
Ca,2.87,
Co,5,
Cu,4.53,5.1
Ga,4.32,
Hg,4.475,
K,2.29,
Lu,3.3,
Mo,4.36,4.95
Nd,3.2,
Pb,4.25,
Rb,2.261,
Ru,4.71,
Se,5.9,
Sn,4.42,
Tb,3,
Ti,4.33,
V,4.3,
Yb,2.6,
B,4.45,
Ba,2.52,2.7
Bi,4.31,
Cd,4.08,
Cr,4.5,
Al,4.06,4.26
As,3.75,
C,5,
Ce,2.9,
Cs,1.95,
Gd,2.9,
In,4.09,
La,3.5,
Hf,3.9,
Ir,5,5.67
Li,2.9,
Eu,2.5,
Fe,4.67,4.81
Mg,3.66,
Mn,4.1,
Nb,3.95,4.87
Os,5.93,
Pt,5.12,5.93
Sc,3.5,
Sm,2.7,
Y,3.1,
Zr,4.05,
Ta,4,4.8
Th,3.4,
U,3.63,3.9
Na,2.36,
Ni,5.04,5.35
Pd,5.22,5.6
Re,4.72,
Rh,4.98,
Sb,4.55,4.7
Si,4.6,4.85
Sr,2.59,
Te,4.95,
Tl,3.84,
W,4.32,5.22
Zn,3.63,4.9
