compound,vaporpressure,nonlog
Water,2.4,2.4
Trichloroethylene,9.2,9.2
Toluene,3.8,3.8
Tetrachloroethylene,2.5,2.5
Tetrachloroethane,0.7,0.7
Styrene,0.85,0.85
Sodium hydroxide [30\% sol],2.4,2.4
Sodium hydroxide [20\% sol],2.4,2.4
Sodium chloride [25\% sol],2.4,2.4
Sea water,2.4,2.4
Propionic acid,0.47,0.47
Propanol,2.8,2.8
Phenol,0.05,0.05
Pentane,58,58
Octane,1.9,1.9
Nonane,0.6,0.6
Nitro benzine,0.03,0.03
Milk,2.4,2.4
Methylene chloride,58,58
Methyl alcohol,16.9,16.9
Methyl acetate,28.8,28.8
Kerosene,0.7,0.7
Isopropyl alcohol (rubbing alcohol),4.4,4.4
Hexane,17.6,17.6
Heptane,6,6
Furfurol,0.3,0.3
Formic acid,5.7,5.7
Ethylene glycol,0.007,0.007
Ethyl glycol,0.7,0.7
Ethyl alcohol,12.4,12.4
Ethyl acetate,14,14
Cyclohexanone,0.67,0.67
Cyclohexanol,0.9,0.9
Chloroform,26,26
Carbon tetrachloride,15.3,15.3
Carbon disulphide,48,48
Calcium chloride [5\% sol],2.4,2.4
Calcium chloride [25\% sol],2.4,2.4
Butyric acid n,48,48
Butyl alcohol,0.93,0.93
Butyl acetate,1.5,1.5
Bromine,28,28
Benzyl alcohol,0.013,0.013
Benzene,14,14
Beer,2.4,2.4
Aniline,0.09,0.09
Amyl acetate,0.47,0.47
Aluminum sulphate [10\% sol],2.4,2.4
Aluminum nitrate [10\% sol],2.4,2.4
Allyl chloride,40,40
Allyl alcohol,2.3,2.3
Acetone,30,30
Acetic acid anhydride,0.68,0.68
Acetic acid,2.1,2.1
