compound,viscosity,nonlog
Water (fresh),0.89,0.89
Turpentine,1.375,1.375
Trichlorofluoromethane refrigerant R-11,0.42,0.42
Toluene,0.55,0.55
Propylene glycol,42,42
Propylene,0.09,0.09
Propane,0.11,0.11
Phenol,8,8
Octane,0.51,0.51
Milk,3,3
Mercury,1.5,1.5
Linseed Oil,33.1,33.1
Kerosene,1.64,1.64
Hexane,0.297,0.297
Heptane,0.376,0.376
Glycerine,950,950
Ethylene Glycol,16.2,16.2
Ether,0.223,0.223
Dodecane,1.34,1.34
Decane,0.859,0.859
Chloroform,0.53,0.53
Castor Oil,650,650
Carbon Tetrachloride,0.91,0.91
Carbon Disulfide,0.36,0.36
Bromine,0.95,0.95
Blood,3.5,3.5
Benzene,0.601,0.601
Alcohol (propyl),1.92,1.92
Alcohol (methyl),0.56,0.56
Alcohol (ethyl),1.095,1.095
Acetone,0.316,0.316
Acetic acid,1.155,1.155
